R,HR,RBI,SB,OBP,SLG,IP,K,W,ERA,WHIP,SVHD
34,8,33,5,0.3223,0.415,59.2,62,5,2.564,1.156,10
28,7,24,4,0.3476,0.4455,58.2,51,1,3.989,1.091,2
28,12,27,2,0.3594,0.513,65.2,80,5,3.426,1.203,7
37,6,25,9,0.322,0.3686,59,69,4,3.051,1.068,6
19,8,29,0,0.3137,0.4113,44.1,36,0,3.248,1.241,4
10,1,14,3,0.2803,0.3082,31.2,23,0,4.263,1.421,7
30,6,31,1,0.3184,0.35,58.2,58,5,3.682,1.176,13
41,16,48,3,0.3934,0.58,61.1,53,2,4.109,1.223,6
48,12,41,8,0.3793,0.5134,69,61,4,1.565,0.957,7
31,11,35,1,0.3929,0.5463,63,65,4,3.857,1.143,6
31,4,26,1,0.3473,0.4064,37,27,1,6.324,1.541,4
44,8,33,7,0.3654,0.5228,61.1,56,3,3.668,1.174,6
21,5,22,0,0.3209,0.4229,42.2,48,4,3.164,1.031,5
32,5,28,4,0.3069,0.3333,53.2,54,3,3.019,1.211,12
28,3,35,2,0.3393,0.3595,55,50,4,2.291,1.018,4
23,7,27,9,0.336,0.4027,60.2,58,1,2.077,1.038,8
29,12,38,3,0.3066,0.4231,54.1,45,2,6.129,1.344,6
41,13,42,6,0.3709,0.4962,55,64,1,4.091,1.273,7
39,13,43,2,0.3576,0.5288,64.2,60,2,3.201,1.268,6
45,15,41,6,0.32,0.4926,66.1,63,4,2.714,1.116,7
40,11,31,2,0.3561,0.4836,37.2,42,3,3.106,1.088,5
22,5,25,3,0.3054,0.4118,41.2,38,3,2.376,1.296,8
31,4,27,3,0.3293,0.4148,64.2,68,5,3.34,1.082,5
24,10,33,2,0.332,0.4254,65.2,64,3,3.701,1.188,7
40,11,37,3,0.3357,0.4531,66.1,64,3,2.714,1.01,7
38,11,33,1,0.348,0.4735,47,39,3,3.83,1.404,10
47,9,34,6,0.3702,0.5167,58.2,57,1,4.909,1.347,3
32,11,29,1,0.3176,0.4786,46,56,4,1.565,0.87,5
33,9,32,3,0.346,0.486,44,46,5,1.841,0.841,4
28,8,29,8,0.3362,0.4366,61,56,4,4.426,1.361,4
28,4,31,12,0.3322,0.3633,61.2,62,5,2.773,1.054,8
27,7,35,2,0.3014,0.3802,42,36,1,4.5,1.143,9
34,6,33,8,0.3993,0.4762,62.2,67,3,1.58,1.069,1
22,6,25,3,0.3114,0.3485,25.1,20,0,1.776,0.908,6
32,9,33,6,0.3697,0.4643,68.1,56,5,2.239,0.937,6
31,9,32,4,0.3252,0.374,67.1,60,3,1.871,0.876,5
32,7,29,8,0.3088,0.4015,64.2,75,6,2.923,1.052,6
36,13,31,4,0.295,0.4523,44.1,36,5,2.03,0.947,2
38,7,21,0,0.3071,0.3938,52.1,56,3,1.72,0.917,12
37,12,44,7,0.331,0.5075,47.1,42,2,3.613,1.437,5
35,9,32,8,0.3415,0.404,62,55,4,1.016,0.887,6
27,5,27,2,0.3203,0.375,77,83,3,1.987,0.805,3
40,14,33,2,0.3732,0.5265,51,41,4,3.706,1.176,7
37,13,38,6,0.3248,0.4797,56,52,4,3.214,1.161,3
30,8,29,7,0.2821,0.3843,62.1,65,3,3.465,1.123,8
29,13,38,3,0.2863,0.4509,53.1,59,2,2.025,0.994,9
35,7,35,17,0.3311,0.3801,65.1,68,7,3.168,1.087,7
35,9,30,5,0.3258,0.4152,51,53,3,4.588,1.196,9
28,5,27,2,0.2873,0.3745,65.1,61,5,2.48,1.332,7
31,14,49,2,0.3369,0.5117,65.1,52,2,2.342,1.117,8
18,3,21,1,0.3346,0.37,32,25,3,4.5,1.563,7
48,12,48,12,0.371,0.4685,95.1,94,3,3.871,1.227,12
30,4,31,8,0.3256,0.3524,88.1,74,7,3.26,1.234,11
60,20,63,10,0.323,0.483,112,82,10,4.018,1.339,8
51,16,47,2,0.3399,0.4484,55.2,50,3,2.587,1.293,13
49,16,48,12,0.3095,0.4271,96.2,101,8,3.538,1.252,12
53,12,50,9,0.3575,0.4611,108,126,5,2.667,0.917,11
48,21,62,3,0.369,0.5629,108.2,110,5,3.644,1.233,8
48,14,52,5,0.3608,0.4649,80,72,9,3.263,1.263,10
45,12,40,2,0.3482,0.4845,63,55,4,3.571,1.238,11
57,19,52,5,0.3519,0.514,69.2,62,8,2.584,1.163,7
30,7,29,6,0.3512,0.4475,63,58,5,5.143,1.302,3
46,17,50,10,0.3471,0.5391,59,55,4,5.797,1.441,9
33,11,37,1,0.3653,0.4661,74.1,66,3,2.543,0.888,10
40,7,28,2,0.3082,0.4102,69.1,70,1,2.207,1.053,5
37,10,41,4,0.3514,0.4689,55.1,43,6,3.904,1.392,9
45,14,52,2,0.356,0.5126,56,50,3,4.018,1.161,5
35,8,38,1,0.3731,0.5127,41.2,40,3,4.104,1.2,5
33,17,41,5,0.3216,0.502,64.2,44,3,4.454,1.314,2
36,13,38,1,0.3165,0.4863,53.1,53,6,1.688,0.919,7
25,4,18,1,0.3125,0.3795,33.1,27,0,4.86,1.38,6
27,5,32,9,0.2761,0.31,66.2,64,5,2.16,0.99,9
28,5,22,7,0.3443,0.4201,57.2,57,4,4.37,1.197,10
39,12,35,6,0.3045,0.4453,61,55,3,2.951,1.213,7
33,7,39,4,0.3477,0.4335,40,42,1,6.075,1.375,8
64,21,52,7,0.3595,0.5559,66,63,4,4.227,1.348,3
29,11,38,4,0.364,0.5362,48.1,42,3,3.352,1.51,4
33,5,35,1,0.3852,0.4224,63,72,3,3.714,1.063,7
37,11,32,2,0.2862,0.4139,53,62,1,3.226,1.208,9
32,4,19,5,0.3692,0.4162,38.2,34,5,4.655,1.448,4
30,10,39,12,0.3708,0.4721,67.1,61,6,2.54,0.98,6
33,6,28,5,0.3267,0.4541,59.1,70,6,3.034,1.146,5
23,6,27,1,0.3237,0.4148,49,41,5,3.673,1.286,4
34,12,40,3,0.3741,0.5326,54.1,48,3,3.147,1.307,5
36,13,32,12,0.3217,0.4791,62.1,51,3,2.455,1.123,4
30,11,34,6,0.3036,0.4559,66.2,65,7,2.295,0.9,4
34,13,27,5,0.3396,0.4752,67.1,74,5,3.074,1.054,7
39,16,44,5,0.3477,0.552,34,35,1,3.176,1,13
43,10,42,2,0.3448,0.4315,59.1,52,1,3.185,1.096,8
31,9,44,3,0.3745,0.523,70.2,69,6,1.146,0.877,9
28,7,25,2,0.3389,0.4279,54,49,1,3.333,1.13,4
30,9,22,1,0.3699,0.5069,42.2,40,3,4.641,1.57,6
41,13,33,6,0.3496,0.5261,57.1,58,2,3.767,1.116,8
31,5,26,5,0.3406,0.4089,47.1,48,2,4.944,1.437,3
31,9,26,6,0.3307,0.4459,39.2,36,4,4.311,1.462,4
39,8,36,9,0.3247,0.3978,67.2,65,3,2.793,1.123,11
31,7,31,4,0.3236,0.3755,48.2,52,3,2.774,1.13,6
53,13,44,7,0.3766,0.5286,63.2,70,2,2.686,1.084,6
38,16,44,3,0.3394,0.5125,69.1,74,5,3.505,1.111,7
36,9,32,1,0.3333,0.4829,33.2,28,4,3.743,1.366,4
28,10,34,4,0.2832,0.3678,55.1,52,2,2.44,1.373,8
